Summary,IssueType,Issue ID,Parent ID
Test for anti-automation,Sub-task,103,102
Test for account lockout,Sub-task,104,102
Test for HTTP protocol DoS,Sub-task,105,102
Test for SQL wildcard DoS,Sub-task,106,102
Business Logic,Task,107,
Test for feature misuse,Sub-task,108,107
Test for lack of non-repudiation,Sub-task,109,107
Test for trust relationships,Sub-task,110,107
Test for integrity of data,Sub-task,111,107
Test segregation of duties,Sub-task,112,107
Cryptography,Task,113,
Check if data which should be encrypted is not,Sub-task,114,113
Check for wrong algorithms usage depending on context,Sub-task,115,113
Check for weak algorithms usage,Sub-task,116,113
Check for proper use of salting,Sub-task,117,113
Check for randomness functions,Sub-task,118,113
Risky Functionality - File Uploads,Task,119,
Test that acceptable file types are whitelisted,Sub-task,120,119
"Test that file size limits, upload frequency and total file counts are defined and are enforced",Sub-task,121,119
Test that file contents match the defined file type,Sub-task,122,119
Test that all file uploads have Anti-Virus scanning in-place.,Sub-task,123,119
Test that unsafe filenames are sanitised,Sub-task,124,119
Test that uploaded files are not directly accessible within the web root,Sub-task,125,119
Test that uploaded files are not served on the same hostname/port,Sub-task,126,119
Test that files and other media are integrated with the authentication and authorisation schemas,Sub-task,127,119
Risky Functionality - Card Payment,Task,128,
Test for known vulnerabilities and configuration issues on Web Server and Web Application,Sub-task,129,128
Test for default or guessable password,Sub-task,130,128
"Test for non-production data in live environment, and vice-versa",Sub-task,131,128
Test for Injection vulnerabilities,Sub-task,132,128
Test for Buffer Overflows,Sub-task,133,128
Test for Insecure Cryptographic Storage,Sub-task,134,128
Test for Insufficient Transport Layer Protection,Sub-task,135,128
Test for Improper Error Handling,Sub-task,136,128
Test for all vulnerabilities with a CVSS v2 score > 4.0,Sub-task,137,128
Test for Authentication and Authorization issues,Sub-task,138,128
Test for CSRF,Sub-task,139,128
HTML 5,Task,140,
Test Web Messaging,Sub-task,141,140
Test for Web Storage SQL injection,Sub-task,142,140
Check CORS implementation,Sub-task,143,140
Check Offline Web Application,Sub-task,144,140
